p,fitted_graph,n,trials,ols_successes,strict_lp_successes,strict_lp_percent,tn_certificate_successes,tn_certificate_percent,proposition_4_successes,proposition_4_percent,either_certificate_successes,either_certificate_percent,certificate_disagreements,certificate_disagreement_percent
5,true,25,500,500,482,96.400000,476,95.200000,401,80.200000,478,95.600000,79,15.800000
5,true,40,500,500,494,98.800000,492,98.400000,429,85.800000,493,98.600000,65,13.000000
5,true,60,500,500,500,100.000000,500,100.000000,442,88.400000,500,100.000000,58,11.600000
5,true,100,500,500,500,100.000000,500,100.000000,458,91.600000,500,100.000000,42,8.400000
5,true,160,500,500,500,100.000000,500,100.000000,464,92.800000,500,100.000000,36,7.200000
5,true,250,500,500,500,100.000000,500,100.000000,468,93.600000,500,100.000000,32,6.400000
5,true,400,500,500,500,100.000000,500,100.000000,474,94.800000,500,100.000000,26,5.200000
5,true,650,500,500,500,100.000000,500,100.000000,479,95.800000,500,100.000000,21,4.200000
5,true,1000,500,500,500,100.000000,500,100.000000,481,96.200000,500,100.000000,19,3.800000
20,true,25,500,500,491,98.200000,419,83.800000,92,18.400000,419,83.800000,327,65.400000
20,true,40,500,500,498,99.600000,484,96.800000,131,26.200000,484,96.800000,353,70.600000
20,true,60,500,500,500,100.000000,500,100.000000,178,35.600000,500,100.000000,322,64.400000
20,true,100,500,500,500,100.000000,500,100.000000,228,45.600000,500,100.000000,272,54.400000
20,true,160,500,500,500,100.000000,500,100.000000,257,51.400000,500,100.000000,243,48.600000
20,true,250,500,500,500,100.000000,500,100.000000,303,60.600000,500,100.000000,197,39.400000
20,true,400,500,500,500,100.000000,500,100.000000,334,66.800000,500,100.000000,166,33.200000
20,true,650,500,500,500,100.000000,500,100.000000,367,73.400000,500,100.000000,133,26.600000
20,true,1000,500,500,500,100.000000,500,100.000000,376,75.200000,500,100.000000,124,24.800000
