fitted_graph,p,n,trials,ols_successes,strict_lp_successes,strict_lp_percent,tn_certificate_successes,tn_certificate_percent,proposition_4_successes,proposition_4_percent,either_certificate_successes,either_certificate_percent,certificate_disagreements,certificate_disagreement_percent
true,5,25,500,500,482,96.400000,476,95.200000,401,80.200000,478,95.600000,79,15.800000
true,5,40,500,500,494,98.800000,492,98.400000,429,85.800000,493,98.600000,65,13.000000
true,5,60,500,500,500,100.000000,500,100.000000,442,88.400000,500,100.000000,58,11.600000
true,5,100,500,500,500,100.000000,500,100.000000,458,91.600000,500,100.000000,42,8.400000
true,5,160,500,500,500,100.000000,500,100.000000,464,92.800000,500,100.000000,36,7.200000
true,5,250,500,500,500,100.000000,500,100.000000,468,93.600000,500,100.000000,32,6.400000
true,5,400,500,500,500,100.000000,500,100.000000,474,94.800000,500,100.000000,26,5.200000
true,5,650,500,500,500,100.000000,500,100.000000,479,95.800000,500,100.000000,21,4.200000
true,5,1000,500,500,500,100.000000,500,100.000000,481,96.200000,500,100.000000,19,3.800000
true,20,25,500,500,491,98.200000,419,83.800000,92,18.400000,419,83.800000,327,65.400000
true,20,40,500,500,498,99.600000,484,96.800000,131,26.200000,484,96.800000,353,70.600000
true,20,60,500,500,500,100.000000,500,100.000000,178,35.600000,500,100.000000,322,64.400000
true,20,100,500,500,500,100.000000,500,100.000000,228,45.600000,500,100.000000,272,54.400000
true,20,160,500,500,500,100.000000,500,100.000000,257,51.400000,500,100.000000,243,48.600000
true,20,250,500,500,500,100.000000,500,100.000000,303,60.600000,500,100.000000,197,39.400000
true,20,400,500,500,500,100.000000,500,100.000000,334,66.800000,500,100.000000,166,33.200000
true,20,650,500,500,500,100.000000,500,100.000000,367,73.400000,500,100.000000,133,26.600000
true,20,1000,500,500,500,100.000000,500,100.000000,376,75.200000,500,100.000000,124,24.800000
random,5,25,500,500,466,93.200000,360,72.000000,347,69.400000,416,83.200000,125,25.000000
random,5,40,500,500,474,94.800000,375,75.000000,367,73.400000,435,87.000000,128,25.600000
random,5,60,500,500,479,95.800000,377,75.400000,380,76.000000,439,87.800000,121,24.200000
random,5,100,500,500,483,96.600000,378,75.600000,387,77.400000,444,88.800000,123,24.600000
random,5,160,500,500,482,96.400000,385,77.000000,396,79.200000,448,89.600000,115,23.000000
random,5,250,500,500,480,96.000000,381,76.200000,402,80.400000,445,89.000000,107,21.400000
random,5,400,500,500,479,95.800000,382,76.400000,403,80.600000,444,88.800000,103,20.600000
random,5,650,500,500,481,96.200000,385,77.000000,405,81.000000,446,89.200000,102,20.400000
random,5,1000,500,500,482,96.400000,381,76.200000,408,81.600000,444,88.800000,99,19.800000
random,20,25,500,500,478,95.600000,169,33.800000,42,8.400000,177,35.400000,143,28.600000
random,20,40,500,500,481,96.200000,168,33.600000,41,8.200000,175,35.000000,141,28.200000
random,20,60,500,500,485,97.000000,172,34.400000,44,8.800000,179,35.800000,142,28.400000
random,20,100,500,500,486,97.200000,177,35.400000,46,9.200000,184,36.800000,145,29.000000
random,20,160,500,500,487,97.400000,177,35.400000,40,8.000000,184,36.800000,151,30.200000
random,20,250,500,500,488,97.600000,180,36.000000,48,9.600000,188,37.600000,148,29.600000
random,20,400,500,500,488,97.600000,181,36.200000,42,8.400000,188,37.600000,153,30.600000
random,20,650,500,500,488,97.600000,175,35.000000,41,8.200000,182,36.400000,148,29.600000
random,20,1000,500,500,488,97.600000,175,35.000000,43,8.600000,182,36.400000,146,29.200000
