p,fitted_graph,n,trials,ols_successes,strict_lp_successes,strict_lp_percent,tn_certificate_successes,tn_certificate_percent,proposition_4_successes,proposition_4_percent,either_certificate_successes,either_certificate_percent,certificate_disagreements,certificate_disagreement_percent
5,random,25,500,500,466,93.200000,360,72.000000,347,69.400000,416,83.200000,125,25.000000
5,random,40,500,500,474,94.800000,375,75.000000,367,73.400000,435,87.000000,128,25.600000
5,random,60,500,500,479,95.800000,377,75.400000,380,76.000000,439,87.800000,121,24.200000
5,random,100,500,500,483,96.600000,378,75.600000,387,77.400000,444,88.800000,123,24.600000
5,random,160,500,500,482,96.400000,385,77.000000,396,79.200000,448,89.600000,115,23.000000
5,random,250,500,500,480,96.000000,381,76.200000,402,80.400000,445,89.000000,107,21.400000
5,random,400,500,500,479,95.800000,382,76.400000,403,80.600000,444,88.800000,103,20.600000
5,random,650,500,500,481,96.200000,385,77.000000,405,81.000000,446,89.200000,102,20.400000
5,random,1000,500,500,482,96.400000,381,76.200000,408,81.600000,444,88.800000,99,19.800000
20,random,25,500,500,478,95.600000,169,33.800000,42,8.400000,177,35.400000,143,28.600000
20,random,40,500,500,481,96.200000,168,33.600000,41,8.200000,175,35.000000,141,28.200000
20,random,60,500,500,485,97.000000,172,34.400000,44,8.800000,179,35.800000,142,28.400000
20,random,100,500,500,486,97.200000,177,35.400000,46,9.200000,184,36.800000,145,29.000000
20,random,160,500,500,487,97.400000,177,35.400000,40,8.000000,184,36.800000,151,30.200000
20,random,250,500,500,488,97.600000,180,36.000000,48,9.600000,188,37.600000,148,29.600000
20,random,400,500,500,488,97.600000,181,36.200000,42,8.400000,188,37.600000,153,30.600000
20,random,650,500,500,488,97.600000,175,35.000000,41,8.200000,182,36.400000,148,29.600000
20,random,1000,500,500,488,97.600000,175,35.000000,43,8.600000,182,36.400000,146,29.200000
