fitted_graph,p,n,trials,ols_successes,ols_percent,strict_lp_successes,strict_lp_percent,tn_certificate_successes,tn_certificate_percent,positive_certificate_successes,positive_certificate_percent,either_certificate_successes,either_certificate_percent,proposition_4_successes,proposition_4_percent,dominance_violations,dominance_violations_percent
true,5,25,500,500,100.000000,491,98.200000,460,92.000000,468,93.600000,473,94.600000,283,56.600000,0,0.000000
true,5,40,500,500,100.000000,497,99.400000,492,98.400000,491,98.200000,494,98.800000,340,68.000000,0,0.000000
true,5,60,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,378,75.600000,0,0.000000
true,5,100,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,405,81.000000,0,0.000000
true,5,160,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,418,83.600000,0,0.000000
true,5,250,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,446,89.200000,0,0.000000
true,5,400,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,451,90.200000,0,0.000000
true,5,650,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,461,92.200000,0,0.000000
true,5,1000,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,467,93.400000,0,0.000000
true,20,25,500,500,100.000000,485,97.000000,363,72.600000,347,69.400000,371,74.200000,56,11.200000,0,0.000000
true,20,40,500,500,100.000000,498,99.600000,454,90.800000,458,91.600000,463,92.600000,92,18.400000,0,0.000000
true,20,60,500,500,100.000000,500,100.000000,497,99.400000,498,99.600000,499,99.800000,130,26.000000,0,0.000000
true,20,100,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,170,34.000000,0,0.000000
true,20,160,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,235,47.000000,0,0.000000
true,20,250,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,294,58.800000,0,0.000000
true,20,400,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,332,66.400000,0,0.000000
true,20,650,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,368,73.600000,0,0.000000
true,20,1000,500,500,100.000000,500,100.000000,500,100.000000,500,100.000000,500,100.000000,374,74.800000,0,0.000000
random,5,25,500,500,100.000000,485,97.000000,359,71.800000,460,92.000000,465,93.000000,204,40.800000,0,0.000000
random,5,40,500,500,100.000000,491,98.200000,383,76.600000,476,95.200000,482,96.400000,221,44.200000,0,0.000000
random,5,60,500,500,100.000000,495,99.000000,384,76.800000,482,96.400000,487,97.400000,233,46.600000,0,0.000000
random,5,100,500,500,100.000000,496,99.200000,374,74.800000,485,97.000000,487,97.400000,258,51.600000,0,0.000000
random,5,160,500,500,100.000000,496,99.200000,379,75.800000,492,98.400000,494,98.800000,256,51.200000,0,0.000000
random,5,250,500,500,100.000000,496,99.200000,371,74.200000,488,97.600000,491,98.200000,253,50.600000,0,0.000000
random,5,400,500,500,100.000000,495,99.000000,374,74.800000,489,97.800000,491,98.200000,260,52.000000,0,0.000000
random,5,650,500,500,100.000000,495,99.000000,375,75.000000,489,97.800000,491,98.200000,262,52.400000,0,0.000000
random,5,1000,500,500,100.000000,497,99.400000,376,75.200000,488,97.600000,491,98.200000,267,53.400000,0,0.000000
random,20,25,500,500,100.000000,482,96.400000,130,26.000000,455,91.000000,459,91.800000,22,4.400000,0,0.000000
random,20,40,500,500,100.000000,491,98.200000,126,25.200000,470,94.000000,472,94.400000,26,5.200000,0,0.000000
random,20,60,500,500,100.000000,492,98.400000,121,24.200000,482,96.400000,484,96.800000,29,5.800000,0,0.000000
random,20,100,500,500,100.000000,493,98.600000,118,23.600000,484,96.800000,488,97.600000,17,3.400000,0,0.000000
random,20,160,500,500,100.000000,494,98.800000,112,22.400000,484,96.800000,488,97.600000,22,4.400000,0,0.000000
random,20,250,500,500,100.000000,494,98.800000,107,21.400000,486,97.200000,489,97.800000,26,5.200000,0,0.000000
random,20,400,500,500,100.000000,495,99.000000,104,20.800000,488,97.600000,492,98.400000,23,4.600000,0,0.000000
random,20,650,500,500,100.000000,495,99.000000,104,20.800000,488,97.600000,490,98.000000,22,4.400000,0,0.000000
random,20,1000,500,500,100.000000,496,99.200000,104,20.800000,490,98.000000,492,98.400000,18,3.600000,0,0.000000
