fitted_graph,p,n,trials,old_reference_gap_successes,old_reference_gap_percent,tn_certificate_successes,tn_certificate_percent
true,5,25,500,471,94.200000,476,95.200000
true,5,40,500,490,98.000000,492,98.400000
true,5,60,500,498,99.600000,500,100.000000
true,5,100,500,500,100.000000,500,100.000000
true,5,160,500,500,100.000000,500,100.000000
true,5,250,500,500,100.000000,500,100.000000
true,5,400,500,500,100.000000,500,100.000000
true,5,650,500,500,100.000000,500,100.000000
true,5,1000,500,500,100.000000,500,100.000000
true,20,25,500,397,79.400000,419,83.800000
true,20,40,500,470,94.000000,484,96.800000
true,20,60,500,496,99.200000,500,100.000000
true,20,100,500,500,100.000000,500,100.000000
true,20,160,500,500,100.000000,500,100.000000
true,20,250,500,500,100.000000,500,100.000000
true,20,400,500,500,100.000000,500,100.000000
true,20,650,500,500,100.000000,500,100.000000
true,20,1000,500,500,100.000000,500,100.000000
random,5,25,500,347,69.400000,360,72.000000
random,5,40,500,362,72.400000,375,75.000000
random,5,60,500,367,73.400000,377,75.400000
random,5,100,500,372,74.400000,378,75.600000
random,5,160,500,377,75.400000,385,77.000000
random,5,250,500,372,74.400000,381,76.200000
random,5,400,500,375,75.000000,382,76.400000
random,5,650,500,377,75.400000,385,77.000000
random,5,1000,500,374,74.800000,381,76.200000
random,20,25,500,148,29.600000,169,33.800000
random,20,40,500,151,30.200000,168,33.600000
random,20,60,500,147,29.400000,172,34.400000
random,20,100,500,153,30.600000,177,35.400000
random,20,160,500,154,30.800000,177,35.400000
random,20,250,500,158,31.600000,180,36.000000
random,20,400,500,154,30.800000,181,36.200000
random,20,650,500,146,29.200000,175,35.000000
random,20,1000,500,151,30.200000,175,35.000000
